District_ID,SE_15_16_AlgI,SE_15_16_AlgII,SE_15_16_Geo,SE_15_16_1,SE_15_16_2,SE_15_16_3,SE_15_16_4,SE_15_16_5,SE_15_16_6,SE_15_16_7,SE_15_16_8,SE_15_16_K,SE_15_16_PreCalc,SE_15_16_Tot
001i000001bwsCtAAI,0,0,0,30,30,25,25,20,0,0,0,25,0,600
001i000001bWwgyAAC,0,0,0,90,90,90,90,90,90,0,0,90,0,2340
001i000001bxfsYAAQ,0,0,0,0,26,22,0,0,0,0,0,0,0,192
001i000001bXL9cAAG,0,0,0,0,0,12,6,0,0,0,0,0,0,72
001i000001bXOziAAG,0,0,0,0,0,0,0,0,30,30,25,0,0,255
001i000001bXp88AAC,0,0,0,0,0,0,0,0,0,191,188,0,0,1137
001i000001bxPILAA2,0,0,0,50,50,50,50,50,30,30,0,50,0,1330
001i000001bXqmaAAC,0,0,0,0,0,0,0,5,5,5,5,0,0,60
001i000001bXzTHAA0,0,0,0,150,150,150,150,95,150,150,150,150,0,4635
001i000001BZEdLAAX,0,0,0,120,120,0,120,120,0,0,0,0,0,1800
001i000001BZEGMAA5,0,0,0,44,50,50,50,60,0,0,0,44,0,1132
001i000001BZEJ6AAP,0,0,0,200,240,180,150,120,160,160,120,220,0,5640
001i000001BZEP7AAP,0,0,0,25,20,25,22,30,20,30,20,20,0,748
001i000001BZF1IAAX,0,0,0,50,110,60,90,0,0,0,0,150,0,1840
001i000001BZHEHAA5,0,0,0,0,0,50,100,28.33333333,0,0,0,0,0,685
001i000001BZHLwAAP,0,0,0,60,60,60,60,60,60,50,40,50,0,1790
001i000001BZU5aAAH,0,0,0,65,75,75,70,0,0,0,0,0,0,1140
001i000001BZU6nAAH,0,0,0,63,60,0,0,0,570,450,0,0,0,3552
001i000001BZWw3AAH,0,0,0,65,60,70,0,0,0,0,0,70,0,1060
001i000001BZYK5AAP,0,0,0,175,180,180,180,0,0,0,0,150,0,3460
001i000001BZYLIAA5,0,0,0,1,1,2,1,37,20,20,20,1,0,315
001i000001C34GBAAZ,0,0,0,50,50,55,55,55,55,55,40,45,0,1635
001i000001C34HTAAZ,0,0,0,50,50,50,60,50,80,90,0,50,0,1700
001i000001C34IgAAJ,0,0,0,305,305,275,305,275,0,0,0,125,0,6085
001i000001C34IMAAZ,0,0,0,0,0,0,0,0,40,0,0,0,0,120
001i000001C34PBAAZ,0,0,0,0,100,0,0,0,0,0,0,0,0,400
001i000001CciJHAAZ,0,0,0,40,40,50,20,40,40,40,40,33.33333333,0,900
001i000001CcnD5AAJ,0,0,0,0,0,0,0,0,585,0,0,0,0,1755
001i000001Cdnm9AAB,0,0,0,0,0,0,0,0,160,165,75,0,0,1200
001i000001cJeMNAA0,0,0,0,0,0,275,0,300,0,0,0,0,0,2000
001i000001cJgATAA0,0,0,0,25,30,25,30,30,0,0,0,25,0,630
001i000001cJqSTAA0,0,0,0,50,50,50,50,50,0,0,0,50,0,1150
001i000001cjTnvAAE,0,0,0,0,0,0,0,0,20,0,0,0,0,60
001i000001cku76AAA,0,0,0,0,20,26,21,20,20,21,21,0,0,514
001i000001cLr9qAAC,0,0,0,0,0,0,0,38,30,25,25,0,0,354
001i000001cRJ4cAAG,0,0,0,5,7,8,10,8,0,0,0,4,0,160
001i000001d5nkKAAQ,0,0,0,70,50,80,70,85,0,0,0,0,0,1335
001i000001d5zpUAAQ,0,0,0,14,11,12,19,0,0,0,0,23,0,316
001i000001d6lKhAAI,0,0,0,0,0,170,140,170,0,0,0,0,0,1750
001i000001d6r81AAA,0,0,0,120,0,0,0,0,0,0,0,0,0,480
001i000001D8TKKAA3,0,0,0,0,0,0,175,0,0,0,0,0,0,700
001i000001dgAVvAAM,0,0,0,20,20,20,20,20,20,0,0,20,0,520
001i000001dQyheAAC,0,0,0,0,0,0,0,0,41,41,0,0,0,246
001i000001e8jBFAAY,0,0,0,10,22,25,0,0,0,0,0,14,0,284
001i000001eBIlfAAG,0,0,0,0,0,0,75,75,75,0,0,0,0,750
001i000001eByPvAAK,0,0,0,60,65,60,45,60,0,0,0,60,0,1340
001i000001EelLYAAZ,0,0,0,350,300,325,325,330,0,0,0,350,0,7590
001i000001EeqAkAAJ,0,0,0,225,225,0,0,0,0,0,0,0,0,1800
